,question,product_id
0,Tìm kiếm về các mẫu máy giặt tiết kiệm điện mới nhất trên thị trường.,"[250, 355, 309]"
1,Các thương hiệu nào sản xuất máy giặt tiết kiệm điện nổi bật?,"[250, 355, 309]"
2,Tìm hiểu về chương trình khuyến mãi máy giặt tiết kiệm điện của các nhà sản xuất.,"[250, 355, 309]"
3,Tìm kiếm về máy giặt tiết kiệm điện với công nghệ làm sạch hiện đại.,"[250, 355, 309]"
4,Các mẫu máy giặt tiết kiệm điện phù hợp cho gia đình nhỏ là gì?,"[250, 355, 309]"
5,Tìm kiếm về máy giặt tiết kiệm điện có khả năng giặt sạch ngay cả ở nhiệt độ thấp.,"[250, 355, 309]"
6,Có những mẫu máy giặt tiết kiệm điện dành cho người mới mua không?,"[250, 355, 309]"
7,Tìm hiểu về máy giặt tiết kiệm điện có chế độ giặt nhanh và hiệu quả.,"[250, 355, 309]"
8,Tìm kiếm về máy giặt tiết kiệm điện có công nghệ giặt tăng cường hiệu suất.,"[250, 355, 309]"
9,Có những mẫu máy giặt tiết kiệm điện nào có tính năng tiết kiệm nước?,"[250, 355, 309]"
10,Tìm kiếm về những sách self-help nổi tiếng và được đánh giá cao hiện nay.,"[4, 773, 114, 120, 94]"
11,Các tác giả nổi tiếng trong lĩnh vực self-help đang xuất bản những tác phẩm mới gì?,"[4, 773, 114, 120, 94]"
12,Tìm kiếm về sách self-help với nội dung tư duy tích cực và động viên.,"[4, 773, 114, 120, 94]"
13,Có những chương trình khuyến mãi nào cho sách self-help hay đang diễn ra?,"[4, 773, 114, 120, 94]"
14,Có những mô hình sách self-help nào dành cho những người đang trải qua khó khăn?,"[4, 773, 114, 120, 94]"
15,Tìm kiếm về cách chọn sách self-help phù hợp với mục tiêu cá nhân.,"[4, 773, 114, 120, 94]"
16,Tìm hiểu về sách self-help giúp người đọc thúc đẩy tinh thần lạc quan và lạc quan.,"[4, 773, 114, 120, 94]"
